time,duration,x,y,avg_dilation
92455,120,289,249,0.128098214
92595,219,325,255,0.171098214
92934,239,330,252,
93193,160,323,252,0.114098214
93372,160,325,253,0.054598214
93572,239,509,288,0.178598214
93831,379,487,275,0.037098214
94230,499,585,280,0.013598214
94748,319,611,290,0.134098214
95326,279,610,288,
95685,140,427,265,0.077598214
95845,279,428,281,0.052598214
96323,180,39,243,0.019401786
96702,160,274,253,
96881,120,276,248,
97101,120,324,270,0.110401786
97320,139,321,264,0.202901786
97480,100,320,264,
97779,199,323,265,
97998,160,322,268,0.010401786
98257,120,444,284,0.019598214
98417,239,442,278,0.041401786
98676,120,441,281,0.115098214
98975,279,248,254,0.039598214
99294,160,236,234,0.080098214
99473,100,284,234,
99593,100,256,221,0.045901786
99752,239,75,220,0.012598214
100071,180,275,210,0.033401786
100371,299,260,248,
100889,259,63,236,0.098901786
101447,239,535,260,0.048901786
101886,299,244,234,0.060901786
102524,279,270,237,0.078401786
102823,140,312,236,
103022,239,622,262,
103281,319,615,264,0.074401786
103720,678,615,261,0.036098214
104438,598,531,285,0.056598214
105136,299,475,249,0.070098214
105455,339,457,260,0.016598214
105813,299,453,258,
106770,179,622,264,
106970,199,617,274,0.038401786
107189,459,621,267,0.051901786
107747,319,498,287,0.021098214
108166,139,251,244,
108385,359,68,260,0.022401786
109322,279,242,237,
109622,498,250,247,
110240,180,531,307,0.018598214
110598,259,264,257,0.127098214
111256,279,274,274,0.050598214
111555,279,350,267,0.016598214
111855,359,282,260,0.087901786
112253,339,352,253,0.115901786
112612,120,367,239,0.043901786
112812,778,605,241,0.129401786
113609,439,518,287,0.079098214
114167,219,285,227,0.095098214
114407,139,457,243,0.110598214
114566,219,453,247,0.035098214
115005,100,234,225,0.062598214
115224,140,66,239,0.018098214
115383,140,49,225,0.034098214
115623,179,46,219,0.082401786
116001,100,47,225,0.017598214
116161,279,54,219,
116540,1017,249,237,0.089098214
117656,140,260,237,
117856,140,632,253,0.095401786
118015,219,623,254,0.013901786
118254,120,621,261,0.016098214
118454,279,472,258,0.015098214
118813,279,445,247,0.004401786
119211,120,312,237,0.001098214
119351,100,274,239,0.049401786
119471,259,275,241,0.007901786
119829,140,104,326,0.109098214
120168,179,57,241,0.001098214
120707,199,308,225,0.060598214
121125,100,443,240,0.061098214
121245,160,489,270,0.077598214
121424,419,471,252,0.036098214
121863,120,471,251,0.015598214
122003,279,499,261,
122302,658,471,262,0.033401786
123458,120,723,539,0.212401786
123598,120,739,568,
124076,100,639,390,
124415,120,466,217,0.108901786
124973,100,446,221,
125193,179,449,218,0.171098214
125611,160,272,216,0.022901786
125811,259,76,202,0.054098214
126349,100,93,173,0.124598214
126568,857,265,248,0.010598214
127446,219,274,233,0.006098214
127685,199,277,212,0.060098214
128223,219,445,219,
128462,279,448,230,0.002401786
128801,638,443,245,
129539,199,517,244,0.089098214
129758,219,519,261,0.109901786
129998,179,472,383,0.022401786
130257,120,445,435,0.071598214
130656,179,67,563,0.020098214
131294,100,499,762,
131413,160,456,829,0.028901786
132849,120,45,524,
133208,160,442,246,
133487,140,188,229,
133865,199,64,252,0.089901786
134424,140,89,256,0.056401786
